datetime,doy,dap,hour,LN,lai,Icsun,Icsh,laisun,laish,sunhgt,aAn,bAn,leaf,assim,assimSum,dvs
2017-12-07 00:00:00,341,78.0,0,71.90721607652512,3.796608658033862,0.028423836951623618,0.1775086206329348,0.1999166759524439,3.5966919820814183,0.05,-0.439942322180437,-0.4279652886312277,85.44202879812006,-0.1757388019201425,901.7435661686239,1.2875375706882632
2017-12-07 01:00:00,341,78.0,1,71.92804279452459,3.796608658033862,0.0,0.0,0.1999166759524439,3.5966919820814183,0.05,-0.41232624147060937,-0.41232624147060937,85.43774975931035,-0.16906766885660265,901.5744984997673,1.2877099736153514
2017-12-07 02:00:00,341,78.0,2,71.94849820006363,3.796608658033862,0.0,0.0,0.1999166759524439,3.5966919820814183,0.05,-0.40821131874260913,-0.40821131874260913,85.43346971014591,-0.16738041172092594,901.4071180880463,1.2878781178509544
2017-12-07 03:00:00,341,78.0,3,71.9667245993859,3.796608658033862,0.0,0.0,0.1999166759524439,3.5966919820814183,0.05,-0.3843119877651891,-0.3843119877651891,85.42918880700208,-0.15758087977463622,901.2495372082717,1.2880201760573309
2017-12-07 04:00:00,341,78.0,4,71.98755131738537,3.796608658033862,0.028423836951623618,0.1775086206329348,0.1999166759524439,3.5966919820814183,0.05,-0.4100313795661135,-0.3980031095551008,85.42490686700444,-0.1634544039692904,901.0860828043025,1.288192578984419
2017-12-07 05:00:00,341,78.0,5,72.01023038264535,3.830323985719868,0.0284238369540155,0.1778515429254743,0.19991667612785363,3.630407309592014,0.05,-0.4311971152604921,-0.41917774482495596,85.42062376470027,-0.1736628598299182,900.9124199444725,1.2883857423392964
2017-12-07 06:00:00,341,78.0,6,72.02697415201074,3.830323985719868,0.0,0.0,0.19991667612785363,3.630407309592014,0.05,-0.36910836137936653,-0.36910836137936653,85.41633991359492,-0.1526908978714836,900.759729046601,1.2885101298543529
2017-12-07 07:00:00,341,78.0,7,72.04334827266253,3.830323985719868,0.0,0.0,0.19991667612785363,3.630407309592014,0.05,-0.36539576566295345,-0.36539576566295345,85.41205534004736,-0.15115508987392298,900.6085739567271,1.2886300975266891
2017-12-07 08:00:00,341,78.0,8,72.06231749538995,3.830323985719868,22.158626668169173,26.370812885164465,0.5404759172729894,3.2898480684468785,0.13564831844232694,1.2464717052414307,1.524498261294644,85.40776985782348,0.6144180046397277,901.2229919613668,1.2887809335249465
2017-12-07 09:00:00,341,78.0,9,72.08902102952173,3.830323985719868,229.3383182582343,58.26702630256448,1.1096825669825008,2.720641418737367,0.2918674404588548,7.573379584726371,3.3042418563292246,85.40348296023616,1.8785200914180316,903.1015120527849,1.2890157498334769
2017-12-07 10:00:00,341,78.0,10,72.12168513737232,3.830323985719868,283.0532065064963,41.65700257223742,1.4670677453450025,2.3632562403748656,0.41672189539700133,8.693074757091258,2.3167114106733533,85.39919433857744,1.968657726501672,905.0701697792865,1.2893015730411443
2017-12-07 11:00:00,341,78.0,11,72.1579563984148,3.830323985719868,446.7788257561981,55.751450199539185,1.6548768468228716,2.1754471388969963,0.4987513268028301,10.118054194773896,3.08036021812142,85.39490384671909,2.53209180007239,907.6022615793589,1.289611362218591
2017-12-07 12:00:00,341,78.0,12,72.19699277491046,3.830323985719868,691.6780290285915,83.29739036601664,1.7131456163126308,2.1171783694072372,0.5275532523213031,11.245066624607421,4.470387324482312,85.39061139441071,3.1027367454504393,910.7049983248094,1.2899358111159283
2017-12-07 13:00:00,341,78.0,13,72.23661818479296,3.830323985719868,770.8454400164336,96.19021467250427,1.6548768468228716,2.1754471388969963,0.4987513268028301,11.47923117386464,5.059134631028967,85.3863169635555,3.240280135510841,913.9452784603202,1.2902629546423985
2017-12-07 14:00:00,341,78.0,14,72.27565456128862,3.830323985719868,667.8111318634113,98.28191095642806,1.4670677453450025,2.3632562403748656,0.41672189539700133,11.197083450088911,5.1517415833092945,85.38202056864812,3.088990665048545,917.0342691253687,1.290587403539736
2017-12-07 15:00:00,341,78.0,15,72.31378956347781,3.830323985719868,398.44980813114586,101.23247448116174,1.1096825669825008,2.720641418737367,0.2918674404588548,10.202797909253118,5.276066868270191,85.37772223466777,2.773024526612252,919.807293651981,1.2909074351576222
2017-12-07 16:00:00,341,78.0,16,72.34942247124985,3.830323985719868,141.7010889938715,168.63738711972127,0.5404759172729894,3.2898480684468785,0.13564831844232694,6.638838289086296,7.329909641755827,85.37342204534568,2.9918614994000836,922.7991551513811,1.2912133772785759
2017-12-07 17:00:00,341,78.0,17,72.38275917243642,3.830323985719868,16.116315552926796,100.84182483874392,0.19991667612785363,3.630407309592014,0.05,0.6245310687166508,5.223362374872602,85.36912009163662,2.0614810091524345,924.8606361605335,1.2915040763338477
